smile_fold1,target_fold1,prediction_fold1,smile_fold1
c1cc(O)c2C(=O)C3=C(O)C4(O)C(=O)C(C(=O)N)=C(O)C(N(C)C)C4CC3C(O)c2c1Cl,-2.52,-3.098129,c1cc(O)c2C(=O)C3=C(O)C4(O)C(=O)C(C(=O)N)=C(O)C(N(C)C)C4CC3C(O)c2c1Cl
O=C(N)NO,1.12,-0.044594071,O=C(N)NO
ClC=CCl,-1.3,-1.27973645,ClC=CCl
ICCCC,-2.96,-3.0009635,ICCCC
O=N(=O)c(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl,-5.82,-5.275358,O=N(=O)c(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl
Nc3ccc2cc1ccccc1cc2c3,-5.17,-4.3149775,Nc3ccc2cc1ccccc1cc2c3
O=CC=C,0.57,0.085719495,O=CC=C
O=N(=O)NC(=N)N,-1.37,-1.5576695,O=N(=O)NC(=N)N
c1cc(Cl)ccc1c2c(Cl)cc(Cl)cc2,-6.21,-6.0958255,c1cc(Cl)ccc1c2c(Cl)cc(Cl)cc2
CNC(=O)ON=C1C(C2)C(C#N)CC2C1Cl,-2.08,-2.715943,CNC(=O)ON=C1C(C2)C(C#N)CC2C1Cl
N(CCCC)(CCCC)CCCC,-3.12,-3.124378,N(CCCC)(CCCC)CCCC
O(c(ccc(nccc1C(O)C(N(CCC2C3C=C)C3)C2)c14)c4)C,-3.37,-3.796215,O(c(ccc(nccc1C(O)C(N(CCC2C3C=C)C3)C2)c14)c4)C
O=C(O)CCCCCCCCCCN,-2.7,-2.904092,O=C(O)CCCCCCCCCCN
O=C(O)C(N)CCSC,-0.42,-0.6216296,O=C(O)C(N)CCSC
COc2ccc(CC1NCC(O)C1OC(C)=O)cc2,-1.61,-1.8264247,COc2ccc(CC1NCC(O)C1OC(C)=O)cc2
CCC(O)CC,-0.24,-0.46907385,CCC(O)CC
C1CNCCN1c2ncc3C(=O)C(C(=O)O)=CN(CC)c3n2,-2.98,-2.435151,C1CNCCN1c2ncc3C(=O)C(C(=O)O)=CN(CC)c3n2
c1ccc(Cl)cc1c2cc(Cl)ccc2,-5.8,-5.43017,c1ccc(Cl)cc1c2cc(Cl)ccc2
OC(CC)(CC)CC,-0.85,-1.2831114,OC(CC)(CC)CC
c1ccccc1C(C)C,-3.27,-3.2727285,c1ccccc1C(C)C
CCCCCCC=C,-4.44,-4.1356865,CCCCCCC=C
c1cc(OCC)ccc1C(=O)OCCN(CC)CC,-2.71,-2.994616,c1cc(OCC)ccc1C(=O)OCCN(CC)CC
c1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)c(Cl)cc2,-7.05,-7.5650895,c1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)c(Cl)cc2
c(c(c(c(c1)ccc2)c2)cc(c3c(c(c4)ccc5)c5)c4)(c1)c3,-8.66,-7.826225,c(c(c(c(c1)ccc2)c2)cc(c3c(c(c4)ccc5)c5)c4)(c1)c3
c1ccc(C)c(C)c1C,-3.2,-3.353751,c1ccc(C)c(C)c1C
c1ccc2cc3ccccc3c(O)c2c1,-4.73,-4.4180425,c1ccc2cc3ccccc3c(O)c2c1
OC(C(C)C)C,-0.2,-0.2088322,OC(C(C)C)C
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,-2.060415,CNC(=O)Oc1cccc(N=CN(C)C)c1
CC(O)(C)C(C)C,-0.41,-0.4248085,CC(O)(C)C(C)C
CCCCOc2cc(C(=O)NCCN(CC)CC)c1ccccc1n2,-3.7,-4.130471,CCCCOc2cc(C(=O)NCCN(CC)CC)c1ccccc1n2
c1cc(OCCCC)ccc1C(=O)OCCN(CC)CC,-3.84,-3.715522,c1cc(OCCCC)ccc1C(=O)OCCN(CC)CC
C=CCS(=O)SCC=C,-0.83,-2.753597,C=CCS(=O)SCC=C
CN(C)C,0.84,1.3695576,CN(C)C
O=C(Nc(ccc(c1)Br)c1)C,-3.08,-2.3696225,O=C(Nc(ccc(c1)Br)c1)C
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)cc(Cl)c2Cl,-10.41,-9.2900775,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1c2c(Cl)c(Cl)cc(Cl)c2Cl
C1CCCCC1O,-0.44,-0.64709635,C1CCCCC1O
CCC1(CCC(=O)NC1=O)c2ccccc2,-2.34,-2.4246745,CCC1(CCC(=O)NC1=O)c2ccccc2
O=C(O)C(O)(CC(=O)O)CC(=O)O,0.51,-0.54079635,O=C(O)C(O)(CC(=O)O)CC(=O)O
c1ccc2Sc3ccc(CC(=O)O)cc3N(C)c2c1,-3.94,-3.9919405,c1ccc2Sc3ccc(CC(=O)O)cc3N(C)c2c1
c1cc(C)cc(C)c1O,-1.19,-1.21875695,c1cc(C)cc(C)c1O
C(=C(C(=C1Cl)Cl)Cl)(C1(Cl)Cl)Cl,-5.18,-5.1784415,C(=C(C(=C1Cl)Cl)Cl)(C1(Cl)Cl)Cl
OCC(C(O)=O)c1ccccc1,-0.93,-1.1695075,OCC(C(O)=O)c1ccccc1
O=C(N)CCl,-0.02,0.13417612,O=C(N)CCl
COc1ccc2CC5C3C=CC(O)C4Oc1c2C34CCN5C,-1.52,-2.761994,COc1ccc2CC5C3C=CC(O)C4Oc1c2C34CCN5C
Cc1cc2cc3ccccc3cc2cc1,-6.96,-5.8871945,Cc1cc2cc3ccccc3cc2cc1
CCCCCCOC(=O)c1ccc(N)cc1,-3.95,-3.527998,CCCCCCOC(=O)c1ccc(N)cc1
O=C(CCCCC)C,-1.42,-1.610359,O=C(CCCCC)C
Clc1cc(Cl)c(Cl)c(Cl)c1c2c(Cl)cccc2,-7.43,-7.4857965,Clc1cc(Cl)c(Cl)c(Cl)c1c2c(Cl)cccc2
CCCCCCCN,-1.85,-1.5444302,CCCCCCCN
CCCCC(=O)CC(=O)C,-1.56,-1.19564335,CCCCC(=O)CC(=O)C
O=C(CC(C)C)C,-1.42,-0.8340157,O=C(CC(C)C)C
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15,-3.0036395,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
C1C(=O)C=C2C(C)=CC3C4CCC(C(=O)C)(OC(=O)C)C4(C)CCC3C2(C)C1,-5.35,-4.557002,C1C(=O)C=C2C(C)=CC3C4CCC(C(=O)C)(OC(=O)C)C4(C)CCC3C2(C)C1
c1cc(I)ccc1F,-3.13,-2.830629,c1cc(I)ccc1F
c1c(O)cc2ccc3C4CCC(=O)C4(C)CCc3c2c1,-5.24,-4.4721185,c1c(O)cc2ccc3C4CCC(=O)C4(C)CCc3c2c1
C1C(=O)C=C2C(C)=CC3C4CCC(C(=O)C)(C)C4(C)CCC3C2(C)C1,-5.27,-4.739672,C1C(=O)C=C2C(C)=CC3C4CCC(C(=O)C)(C)C4(C)CCC3C2(C)C1
S=P(OCC)(OCC)Oc1ccc2C(C)=C(Cl)C(=O)Oc2c1,-5.38,-5.0661025,S=P(OCC)(OCC)Oc1ccc2C(C)=C(Cl)C(=O)Oc2c1
CCOc2ccc1nc(sc1c2)S(N)(=O)=O,-3.81,-2.7756425,CCOc2ccc1nc(sc1c2)S(N)(=O)=O
C1=CC2C(N(C)C5)Cc3ccc(O)c4c3C2(C5)C(O4)C1O,-3.28,-2.101461,C1=CC2C(N(C)C5)Cc3ccc(O)c4c3C2(C5)C(O4)C1O
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64,-2.1404205,CCCCC1(CC)C(=O)NC(=O)NC1=O
c1ccccc1F,-1.8,-1.6205465,c1ccccc1F
O(C(CCC1C2)(C2)C)C1(C)C,-1.64,-1.5155257,O(C(CCC1C2)(C2)C)C1(C)C
CC(=O)N,1.58,1.06351495,CC(=O)N
c1cc(Cl)c(Cl)cc1c2c(Cl)ccc(Cl)c2,-7.25,-6.860016,c1cc(Cl)c(Cl)cc1c2c(Cl)ccc(Cl)c2
O=C(O)C(N)Cc(cccc1)c1,-1.23,-1.3252993,O=C(O)C(N)Cc(cccc1)c1
CCCCCCCCOC(=O)N,-3.3,-2.339194,CCCCCCCCOC(=O)N
c1ccccc1CCO,-0.74,-1.2568693,c1ccccc1CCO
O=C(OCC=C)c(c(ccc1)C(=O)OCC=C)c1,-3.13,-3.9336915,O=C(OCC=C)c(c(ccc1)C(=O)OCC=C)c1
c1ccc2c(O)cc(C)nc2c1,-1.2,-1.7816615,c1ccc2c(O)cc(C)nc2c1
O=C1C=Cc2cc3ccoc3c(OC)c2O1,-3.66,-2.428289,O=C1C=Cc2cc3ccoc3c(OC)c2O1
CNC(=O)Oc1ccccc1C2OCCO2,-1.57,-1.77084,CNC(=O)Oc1ccccc1C2OCCO2
CCCCCC,-3.84,-3.2919335,CCCCCC
O=C(OC(=O)c1cccc2)c12,-1.39,-2.0477785,O=C(OC(=O)c1cccc2)c12
c1c(Cl)nc2cncnc2n1,-0.87,-1.8806035,c1c(Cl)nc2cncnc2n1
Cc1cc(C)c(NC(=O)C)cc1NS(=O)(=O)C(F)(F)F,-3.24,-3.3261205,Cc1cc(C)c(NC(=O)C)cc1NS(=O)(=O)C(F)(F)F
OC(CCCCCC)C,-2.09,-2.1465485,OC(CCCCCC)C
c(c(ccc1Cl)ccc2)(c2)c1,-4.14,-3.8150255,c(c(ccc1Cl)ccc2)(c2)c1
c1ccccc1C(O)C(O)c2ccccc2,-1.93,-3.183394,c1ccccc1C(O)C(O)c2ccccc2
OCCCCCCCCC,-3.01,-3.035406,OCCCCCCCCC
ClC=C(Cl)Cl,-1.96,-2.0630155,ClC=C(Cl)Cl
CC(Cl)CC,-1.96,-1.9133945,CC(Cl)CC
O=C(N(CC(C)C)CC(C)C)SCC,-3.68,-3.1221055,O=C(N(CC(C)C)CC(C)C)SCC
O=C(O)c(c(c(N)cc1Cl)Cl)c1,-2.47,-2.9277995,O=C(O)c(c(c(N)cc1Cl)Cl)c1
COc2cc(Cc1cnc(N)nc1N)cc(OC)c2OC,-2.86,-3.263638,COc2cc(Cc1cnc(N)nc1N)cc(OC)c2OC
c1cc(N)ccc1C(=O)OCCNCCCCC,-3.27,-3.028832,c1cc(N)ccc1C(=O)OCCNCCCCC
O=C(N(CC=C)CC=C)C(Cl)Cl,-1.62,-3.007935,O=C(N(CC=C)CC=C)C(Cl)Cl
n(c(c(ccc1)cc2)c1O)c2,-2.42,-1.1408195,n(c(c(ccc1)cc2)c1O)c2
O=C(OCC)CC(=O)OCC,-0.82,-1.0731581,O=C(OCC)CC(=O)OCC
CCNc1nc(NC(C)(C)C)nc(SC)n1,-4,-3.1001175,CCNc1nc(NC(C)(C)C)nc(SC)n1
OC1C(O)C(O)C(O)C(O)C1O,0.35,0.420090955,OC1C(O)C(O)C(O)C(O)C1O
c1c(F)cc(F)c(F)c1F,-2.31,-2.6699355,c1c(F)cc(F)c(F)c1F
O=C(O)CCl,0.93,0.299790505,O=C(O)CCl
CCCCC(O)(C)C,-1.08,-1.1805055,CCCCC(O)(C)C
c1cc(CC)ccc1CC,-3.75,-4.022955,c1cc(CC)ccc1CC
OCc(c(O)ccc1)c1,-0.29,-0.439317855,OCc(c(O)ccc1)c1
O=C(N)N(C)N=O,-0.85,-0.7308367,O=C(N)N(C)N=O
C1CCCCC1C,-3.85,-3.4819755,C1CCCCC1C
O=C(O)CCCCC(=O)O,-0.82,-0.60946215,O=C(O)CCCCC(=O)O
c(c(ccc1)ccc2)(c1c(c(c(cc3)ccc4)c45)c3)c25,-8.8,-7.466991,c(c(ccc1)ccc2)(c1c(c(c(cc3)ccc4)c45)c3)c25
N#CCC=CC,-0.96,-0.9739933,N#CCC=CC
OC(C(CCC1C)C(C)C)C1,-2.53,-2.7894935,OC(C(CCC1C)C(C)C)C1
NC(=O)OCCCCC,-1.47,-1.0839749,NC(=O)OCCCCC
O=C(N)C(=C(O)C(N(C)C)C(C1(O)C(O)=C(C2C(O)(c(c3c(O)cc4)c4)C)C3=O)C2O)C1=O,-3.14,-2.639951,O=C(N)C(=C(O)C(N(C)C)C(C1(O)C(O)=C(C2C(O)(c(c3c(O)cc4)c4)C)C3=O)C2O)C1=O
O=C(O)C(CC)CC,-0.81,-0.9112061,O=C(O)C(CC)CC
O(c(ccc(c1)C=CC)c1)C,-3.13,-2.717985,O(c(ccc(c1)C=CC)c1)C
O=C(OCCN(CC)CC)c(ccc(N)c1)c1,-1.4,-2.4708685,O=C(OCCN(CC)CC)c(ccc(N)c1)c1
O=C(Oc(cccc1C)c1)NC,-1.8,-1.8358429,O=C(Oc(cccc1C)c1)NC
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9,-7.2612365,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
O=C(OC(C)(C)C)N,0.1,-0.26677733,O=C(OC(C)(C)C)N
c1c(OC)c(O)c2C3(C4)CC(=O)C=CC3C(N(C)C4)Cc2c1,-1.87,-2.8526125,c1c(OC)c(O)c2C3(C4)CC(=O)C=CC3C(N(C)C4)Cc2c1
O=C(OC)C,0.52,0.53945555,O=C(OC)C
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,-5.541306,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
CC1=C(CCCO1)C(=O)Nc2ccccc2,-2.56,-2.390272,CC1=C(CCCO1)C(=O)Nc2ccccc2
c1ccccc1CNC(=O)CN2C(N(=O)=O)=NC=C2,-2.81,-3.0543105,c1ccccc1CNC(=O)CN2C(N(=O)=O)=NC=C2
OC(c(c(c(nc1)ccc2)c2)c1)C(N(CCC3C4C=C)C4)C3,-3.07,-3.5684615,OC(c(c(c(nc1)ccc2)c2)c1)C(N(CCC3C4C=C)C4)C3
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57,-4.076724,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12
CN(C)CCC=C2c1ccccc1CCc3ccccc23,-4.46,-5.442382,CN(C)CCC=C2c1ccccc1CCc3ccccc23
CC(C)CBr,-2.43,-2.19562,CC(C)CBr
BrC(Br)(Br)Br,-3.14,-3.205867,BrC(Br)(Br)Br
c1cc(Cl)ccc1c2ccc(Cl)cc2,-6.56,-5.546126,c1cc(Cl)ccc1c2ccc(Cl)cc2
OC(=O)c1ccccc1Nc2cc(C(F)(F)F)ccc2,-4.36,-4.4014235,OC(=O)c1ccccc1Nc2cc(C(F)(F)F)ccc2
CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-4.53,-4.7749345,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2
c1ccc2C(O)N3CCC(O)C3=Nc2c1,-2.07,-1.8924335,c1ccc2C(O)N3CCC(O)C3=Nc2c1
Oc(c(ccc1)CC)c1,-1.36,-1.4896105,Oc(c(ccc1)CC)c1
c1cc2cc3cc(CC)ccc3cc2cc1,-6.89,-6.62289,c1cc2cc3cc(CC)ccc3cc2cc1
Oc1c(I)cc(C#N)cc1I,-3.61,-3.522644,Oc1c(I)cc(C#N)cc1I
O=C1N(c2ccccc2)N(C)C(C)=C1N,-0.62,-2.0785125,O=C1N(c2ccccc2)N(C)C(C)=C1N
c1ccc4c(c1)ccc5c2cccc3cccc(c23)c45,-8,-7.855838,c1ccc4c(c1)ccc5c2cccc3cccc(c23)c45
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19,-4.8821805,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC
O=C(O)CCCCCCCCCC,-3.55,-3.662227,O=C(O)CCCCCCCCCC
O=C(OC)CCC,-0.82,-0.47270665,O=C(OC)CCC
c1ccccc1CN,-1.53,-0.5546269,c1ccccc1CN
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C,-4.42,-4.5996635,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C
O=C(NC(=O)C(=O)C1=O)N1,-1.25,-1.25134425,O=C(NC(=O)C(=O)C1=O)N1
c1cc(C)cc(C)n1,0.38,-0.395317755,c1cc(C)cc(C)n1
c1cc(Br)ccc1C,-3.19,-2.8921315,c1cc(Br)ccc1C
C1(=O)NC(=O)NC(C(=O)O)=C1,-1.93,-1.3961465,C1(=O)NC(=O)NC(C(=O)O)=C1
C1C(=O)C=C2CCC3C4CCC(C(=O)COC(=O)C)C4(C)CCC3C2(C)C1,-4.63,-4.8072815,C1C(=O)C=C2CCC3C4CCC(C(=O)COC(=O)C)C4(C)CCC3C2(C)C1
O=C(O)CC(N)C,1.08,0.46374045,O=C(O)CC(N)C
O=C(NS(=O)(=O)c1cccc2)c12,-1.64,-1.4705155,O=C(NS(=O)(=O)c1cccc2)c12
C=CC#N,0.15,0.216432475,C=CC#N
OCC(O)CO,1.12,1.4145435,OCC(O)CO
Cc1cccc(c1)Oc2cccc(c2)C,-4.85,-3.594345,Cc1cccc(c1)Oc2cccc(c2)C
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.18,-5.7199455,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
C1=CC(=O)NC(=O)N1,-1.48,-0.46637955,C1=CC(=O)NC(=O)N1
NS(=O)(=O)c1c(Cl)cc2N=CNS(=O)(=O)c2c1,-3.05,-2.270755,NS(=O)(=O)c1c(Cl)cc2N=CNS(=O)(=O)c2c1
O=C(O)CCI,-0.43,-0.50222755,O=C(O)CCI
O=S(=O)(N)c(c(ccc1)C)c1,-2.02,-1.26680405,O=S(=O)(N)c(c(ccc1)C)c1
CC(C)OC(=O)Nc1cccc(Cl)c1,-3.38,-2.694716,CC(C)OC(=O)Nc1cccc(Cl)c1
Oc(ccc(N)c1)c1,-0.8,-0.43064465,Oc(ccc(N)c1)c1
O=C1C=C2CCC3C4CC5OC(C)(C)OC5(C(=O)CO)C4(C)CC(O)C3(F)C2(C)C=C1,-4.32,-3.798104,O=C1C=C2CCC3C4CC5OC(C)(C)OC5(C(=O)CO)C4(C)CC(O)C3(F)C2(C)C=C1
c12C(=O)C3=C(O)C4(O)C(=O)C=C(O)C(N(C)C)C4CC3C(O)(C)c1cccc2,-1.42,-2.5021855,c12C(=O)C3=C(O)C4(O)C(=O)C=C(O)C(N(C)C)C4CC3C(O)(C)c1cccc2
OCCC(C)C,-0.52,-0.4218802,OCCC(C)C
c1ccc(Br)c(Br)c1Br,-5.04,-4.6184425,c1ccc(Br)c(Br)c1Br
ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,-6.29,-5.796017,ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl
C1CCCCN1c2nc(N)n(=O)c(N)c2,-1.98,-2.219862,C1CCCCN1c2nc(N)n(=O)c(N)c2
O=S(=O)(N)c(ccc(N)c1)c1,-1.36,-1.11654355,O=S(=O)(N)c(ccc(N)c1)c1
c1c(Cl)c(CO)c(Cl)cc1,-2.1,-2.5974965,c1c(Cl)c(CO)c(Cl)cc1
O=C(NC(CCCC1)C1)NS(=O)(=O)c(ccc(c2)C(=O)C)c2,-2.06,-3.2629,O=C(NC(CCCC1)C1)NS(=O)(=O)c(ccc(c2)C(=O)C)c2
C=CC=C,-1.87,-1.40001745,C=CC=C
O(c(c(O)ccc1)c1)C,-1.96,-0.83339885,O(c(c(O)ccc1)c1)C
O=N(=O)OCC(ON(=O)=O)CON(=O)=O,-2.22,-3.031107,O=N(=O)OCC(ON(=O)=O)CON(=O)=O
O=C(Nc(ccc(c1)I)c1)C,-3.25,-2.444402,O=C(Nc(ccc(c1)I)c1)C
c1cc2N3C(C)=NN=C3CN=C(c4c(Cl)cccc4)c2cc1Cl,-4.08,-5.076109,c1cc2N3C(C)=NN=C3CN=C(c4c(Cl)cccc4)c2cc1Cl
O=C(OCc(cccc1)c1)c(c(ccc2)C(=O)OCCCC)c2,-5.64,-4.901363,O=C(OCc(cccc1)c1)c(c(ccc2)C(=O)OCCCC)c2
O=C(CCCC1C)C1,-1.87,-1.26798815,O=C(CCCC1C)C1
Clc1c(Cl)cc(Cl)c(Cl)c1c2c(Cl)ccc(Cl)c2,-7.42,-7.973336,Clc1c(Cl)cc(Cl)c(Cl)c1c2c(Cl)ccc(Cl)c2
O(C(C(O)C(O)C1O)CO)C1Oc(c(ccc2)CO)c2,-0.85,-1.26486085,O(C(C(O)C(O)C1O)CO)C1Oc(c(ccc2)CO)c2
O=P(OCC)(OCC)OCC,0.43,-1.5148554,O=P(OCC)(OCC)OCC
CN1C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4,-0.48,-2.114261,CN1C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4
O=C(O)C(Oc(c(cc(c1)Cl)Cl)c1)C,-2.45,-3.016209,O=C(O)C(Oc(c(cc(c1)Cl)Cl)c1)C
O=N(=O)c(ccc(O)c1)c1,-0.74,-1.8079875,O=N(=O)c(ccc(O)c1)c1
S(c(cccc1)c1)C,-2.39,-2.237036,S(c(cccc1)c1)C
s1cccc1,-1.45,-1.19894545,s1cccc1
O=C(CCCCCC)C,-2.05,-2.210586,O=C(CCCCCC)C
n(cccc1C(N(CC2)C)C2)c1,0.79,-0.854228,n(cccc1C(N(CC2)C)C2)c1
O=C(c(ccc(N)c1)c1)C,-1.61,-1.2796821,O=C(c(ccc(N)c1)c1)C
O=C(Oc(cccc1)c1)c(c(O)ccc2)c2,-3.15,-3.186744,O=C(Oc(cccc1)c1)c(c(O)ccc2)c2
CCCCCCCC=C,-5.05,-4.8263585,CCCCCCCC=C
O=C(N)N(CC)N=O,-0.96,-0.98315615,O=C(N)N(CC)N=O
O=C(OCCCC)N,-0.66,-0.73038615,O=C(OCCCC)N
O=C1NC(=S)NC(=O)C1(CC)C(C)CCC,-3.36,-3.6248265,O=C1NC(=S)NC(=O)C1(CC)C(C)CCC
c1c(OC)cc2c(CC(=O)O)c(C)n(C(=O)C=Cc3ccccc3)c2c1,-5.54,-4.3701145,c1c(OC)cc2c(CC(=O)O)c(C)n(C(=O)C=Cc3ccccc3)c2c1
Clc1c(Cl)cc(Cl)cc1c2c(Cl)cc(Cl)cc2Cl,-8.71,-7.70433,Clc1c(Cl)cc(Cl)cc1c2c(Cl)cc(Cl)cc2Cl
c1ccc2cccc3c2c1CC3,-4.63,-4.5272935,c1ccc2cccc3c2c1CC3
O=C(O)c(cccc1N(=O)=O)c1,-1.68,-2.200511,O=C(O)c(cccc1N(=O)=O)c1
CCOC=C,-0.85,0.011627448,CCOC=C
O=C(O)C(c(ccc(c1)CC(C)C)c1)C,-3.99,-3.280115,O=C(O)C(c(ccc(c1)CC(C)C)c1)C
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,-5.4,-5.112832,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O
CN(C)C2C1CC4C(=C(O)C1(O)C(=O)C(=C2O)C(N)=O)C(=O)c3c(O)cccc3C4(C)O,-3.12,-2.8937435,CN(C)C2C1CC4C(=C(O)C1(O)C(=O)C(=C2O)C(N)=O)C(=O)c3c(O)cccc3C4(C)O
O=C(Nc(c(O)ccc1)c1)C,-2.24,-1.2313445,O=C(Nc(c(O)ccc1)c1)C
O=CCCCCCCC,-2.36,-2.4891645,O=CCCCCCCC
O=C(OCCC)C,-0.72,-0.37285455,O=C(OCCC)C
CCCC#C,-1.64,-1.9170145,CCCC#C
Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCCCC2,-3.68,-3.3276085,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCCCC2
CC(C)(C)C(O)CC,-1.15,-1.3436973,CC(C)(C)C(O)CC
n(cccc1CO)c1,0.96,0.032329594,n(cccc1CO)c1
CC3C2C(O)C1C(N(C)C)C(=C(C(N)=O)C(=O)C1(O)C(=C2C(=O)c4c(O)cccc34)O)O,-2.87,-2.8974255,CC3C2C(O)C1C(N(C)C)C(=C(C(N)=O)C(=O)C1(O)C(=C2C(=O)c4c(O)cccc34)O)O
c1ccccc1NC(=O)NN,-2.33,-1.643273,c1ccccc1NC(=O)NN
O=C(ON=C(C(C)(C)C)CSC)NC,-1.62,-2.16778325,O=C(ON=C(C(C)(C)C)CSC)NC
